Race,United States Average,District of Columbia ,Alabama ,Alaska ,Arizona ,Arkansas ,California ,Colorado ,Connecticut ,Delaware ,Florida ,Georgia ,Hawaii ,Idaho ,Illinois ,Indiana ,Iowa ,Kansas ,Kentucky ,Louisiana ,Maine ,Maryland ,Massachusetts ,Michigan ,Minnesota ,Mississippi ,Missouri ,Montana ,Nebraska ,Nevada ,New Hampshire ,New Jersey ,New Mexico ,New York ,North Carolina ,North Dakota ,Ohio ,Oklahoma ,Oregon ,Pennsylvania ,Rhode Island ,South Carolina ,South Dakota ,Tennessee ,Texas ,Utah ,Vermont ,Virginia ,Washington ,West Virginia ,Wisconsin ,Wyoming 
Total,-0.071495,-0.814756,-0.4,-1.22,-0.24,-0.41,-0.11,-0.35,-0.34,-0.78,-0.17,-0.24,-0.58,-0.65,-0.22,-0.26,-0.45,-0.49,-0.29,-0.33,-0.69,-0.28,-0.3,-0.25,-0.33,-0.43,-0.33,-0.67,-0.6,-0.37,-0.67,-0.24,-0.43,-0.18,-0.25,-1.03,-0.19,-0.36,-0.34,-0.22,-0.65,-0.28,-1.01,-0.29,-0.15,-0.5,-1.1,-0.26,-0.25,-0.45,-0.35,-0.89
White,-0.072558,-0.65381,-0.41,-1.58,-0.35,-0.48,-0.15,-0.36,-0.38,-1.08,-0.2,-0.3,-1.2,-0.68,-0.28,-0.28,-0.46,-0.55,-0.33,-0.41,-0.69,-0.41,-0.36,-0.28,-0.37,-0.56,-0.33,-0.74,-0.68,-0.57,-0.67,-0.31,-0.69,-0.2,-0.26,-1.17,-0.21,-0.44,-0.38,-0.22,-0.7,-0.39,-1.04,-0.31,-0.21,-0.54,-1.11,-0.31,-0.29,-0.47,-0.34,-0.97
Black,-0.124131,-1.398745,-0.78,-7.06,-1.41,-1.07,-0.57,-1.88,-1.23,-1.81,-0.43,-0.45,-5.33,-6.62,-0.56,-1,-2.05,-2.06,-1.24,-0.52,-6.39,-0.57,-1.27,-0.6,-1.9,-0.62,-0.87,0,-3.69,-1.38,-7.08,-0.79,-3.92,-0.5,-0.56,-8.29,-0.5,-1.44,-2.92,-0.76,-3.5,-0.57,-5.01,-0.82,-0.52,-4.09,0,-0.65,-1.46,-2.28,-1.43,0
Hispanic,-0.12697,-3.357046,-1.69,-5.13,-0.47,-1.37,-0.17,-0.65,-0.93,-1.91,-0.44,-0.79,-2.13,-1.55,-0.53,-1.02,-1.82,-1.3,-1.66,-1.66,-6.13,-1.05,-0.83,-1.16,-1.71,-1.8,-1.88,-4.48,-1.42,-0.67,-3.02,-0.59,-0.64,-0.42,-0.76,-3.73,-1.24,-1.25,-1.04,-0.78,-1.87,-1.28,-5.88,-1.3,-0.21,-1.15,-9.47,-0.87,-0.84,-4.05,-1.5,-2.34
Asian,-0.21364,-3.612906,-3.73,-4.45,-1.39,-3.26,-0.32,-1.67,-2.14,-2.9,-0.96,-1.47,-0.95,-3.97,-0.96,-2.36,-4.43,-3.29,-2.88,-3.63,-6.2,-1.36,-1.38,-1.51,-1.74,-4.7,-2.47,-7.56,-4.85,-1.44,-6.23,-0.74,-4.77,-0.59,-1.47,-11.09,-1.83,-3.23,-1.91,-1.29,-3.62,-2.78,-8.04,-2.4,-0.82,-3.47,-10.79,-1.11,-0.99,-5.14,-2.8,0
Two Or More Races,-0.340644,-4.158025,-4.1,-5.06,-2.33,-3.98,-0.82,-2.04,-2.9,-8.66,-1.53,-2.07,-1.24,-5.2,-2.19,-2.84,-4.78,-3.23,-3.39,-3.05,-5.14,-2.44,-2.64,-2.01,-3.04,-6.14,-2.69,-6.02,-5.51,-2.59,-6.8,-2.72,-5.08,-1.34,-2.2,-6.16,-2.03,-1.69,-1.88,-2.09,-6.38,-2.5,-6.23,-2.9,-1.39,-3.23,-11.36,-2.2,-1.22,-5.15,-3.3,-9.24
