Race,United States Average,District of Columbia ,Alabama ,Alaska ,Arizona ,Arkansas ,California ,Colorado ,Connecticut ,Delaware ,Florida ,Georgia ,Hawaii ,Idaho ,Illinois ,Indiana ,Iowa ,Kansas ,Kentucky ,Louisiana ,Maine ,Maryland ,Massachusetts ,Michigan ,Minnesota ,Mississippi ,Missouri ,Montana ,Nebraska ,Nevada ,New Hampshire ,New Jersey ,New Mexico ,New York ,North Carolina ,North Dakota ,Ohio ,Oklahoma ,Oregon ,Pennsylvania ,Rhode Island ,South Carolina ,South Dakota ,Tennessee ,Texas ,Utah ,Vermont ,Virginia ,Washington ,West Virginia ,Wisconsin ,Wyoming 
Total,33.2,59.8,26.3,31.1,30.1,23.2,35,42.8,40.1,34,30.7,32.5,33,29.1,36,27.1,29.6,33.2,25.3,25,32.9,40.9,45,30.2,37.3,22,30.2,33,33.8,25.7,38.1,41.2,28.2,37.9,32.2,29.4,29.4,26.1,34.2,32.5,35,29.4,29.9,28.8,30.8,35.2,39.3,39.8,36.9,21.5,31.2,29.1
White,36.9,91.5,28.4,37.4,36.5,24.7,45.2,49.2,45,37.1,34.6,36.4,46.5,30.4,40.2,27.7,30.6,36.2,25.2,28.7,33,46.5,48.3,31.3,38.9,25.7,31,33.9,36.2,30.9,37.9,45.9,41.3,44.6,36,31.1,30.6,28.5,35.8,34.1,38.5,34.4,31.7,30.2,39.5,38.3,39.2,43.2,37.9,21.4,32.6,30.7
Black,22.7,28.7,19.9,21.8,27.4,17.7,27.5,27,23.4,24.8,19.4,24.8,32.5,19.4,23,20.2,13.5,21.9,20.3,17.4,34.2,31.2,28.6,18.2,20.3,15.6,20,,21.8,18.7,42.6,25.3,30,25.3,21.9,30.2,17,21.3,26.6,21.2,26.2,17.5,17.2,21.7,25.6,19.9,,24.6,24.7,13.4,16.1,
Hispanic,17.6,52.6,16.9,28.8,14.2,9.3,14.3,18.5,18.7,11.9,25.5,18.9,22.2,11.6,16.8,16.8,13.9,11.9,19.8,17.6,41.6,21.5,20.4,20,22,11.2,21.3,25.7,13.5,10.6,25.5,21,17.4,21.1,17.2,12.4,20.3,12.5,16.2,16.5,13.4,17.1,25.2,17.5,16.1,15.9,33.2,26.8,19.1,21.6,16.3,10.8
Asian,55.9,81.4,55.9,30.3,59.9,55.9,54.7,55.2,65.6,67.5,50.9,57.9,34.6,59.7,66.3,60.3,50.8,48.4,62.1,44.3,35.2,62.7,63.3,65.3,45.6,46.7,64.3,76.2,48.6,43.2,60.6,71.3,52.4,47.9,59.1,31.5,62.2,43.8,53,56.7,57,49.4,36.2,56.4,60.7,55.6,49.1,62.6,56.6,65.3,47.9,
Two or More Races,36.3,77.8,32.4,30,33.3,28.3,43.5,44.7,43.1,40.9,33.4,40.5,25.5,49.5,41.8,27.5,27.4,23.7,28.8,26,27,44.1,52.7,30.2,32,32.2,35.2,34.2,30.5,25.3,36.3,44.1,32.4,39.9,35.2,12.6,26.6,25.6,32.9,30.7,42.1,29.2,18.2,29.7,39.9,34.5,50.7,41.1,34.3,25.2,34,20.4
