Race,United States Average,District of Columbia ,Alabama ,Alaska ,Arizona ,Arkansas ,California ,Colorado ,Connecticut ,Delaware ,Florida ,Georgia ,Hawaii ,Idaho ,Illinois ,Indiana ,Iowa ,Kansas ,Kentucky ,Louisiana ,Maine ,Maryland ,Massachusetts ,Michigan ,Minnesota ,Mississippi ,Missouri ,Montana ,Nebraska ,Nevada ,New Hampshire ,New Jersey ,New Mexico ,New York ,North Carolina ,North Dakota ,Ohio ,Oklahoma ,Oregon ,Pennsylvania ,Rhode Island ,South Carolina ,South Dakota ,Tennessee ,Texas ,Utah ,Vermont ,Virginia ,Washington ,West Virginia ,Wisconsin ,Wyoming 
Total,-0.041469,-0.597381,-0.25,-0.46,-0.23,-0.29,-0.09,-0.18,-0.2,-0.51,-0.13,-0.16,-0.39,-0.32,-0.15,-0.22,-0.25,-0.3,-0.26,-0.25,-0.32,-0.2,-0.2,-0.15,-0.18,-0.31,-0.2,-0.38,-0.31,-0.33,-0.33,-0.15,-0.4,-0.13,-0.17,-0.5,-0.14,-0.26,-0.23,-0.14,-0.54,-0.23,-0.58,-0.21,-0.11,-0.25,-0.51,-0.18,-0.19,-0.4,-0.19,-0.45
White,-0.033483,-0.190135,-0.3,-0.54,-0.18,-0.3,-0.07,-0.13,-0.19,-0.58,-0.11,-0.19,-0.4,-0.3,-0.11,-0.22,-0.2,-0.22,-0.26,-0.28,-0.32,-0.17,-0.16,-0.14,-0.13,-0.4,-0.22,-0.41,-0.25,-0.3,-0.38,-0.13,-0.37,-0.11,-0.16,-0.44,-0.14,-0.25,-0.2,-0.13,-0.49,-0.26,-0.48,-0.24,-0.1,-0.21,-0.47,-0.2,-0.14,-0.43,-0.15,-0.41
Black,-0.0967,-1.201271,-0.53,-1.77,-0.92,-0.94,-0.33,-0.91,-0.97,-1.21,-0.37,-0.28,-0.63,-1.8,-0.46,-0.87,-2.61,-1.64,-0.99,-0.53,-6.25,-0.38,-0.78,-0.58,-1.46,-0.66,-0.64,0,-2.68,-0.82,-4.48,-0.43,-2.12,-0.4,-0.44,-2.21,-0.45,-1.12,-2.09,-0.62,-1.62,-0.53,-8.3,-0.59,-0.23,-4.7,0,-0.46,-1.23,-1.86,-1.5,0
Hispanic,-0.153199,-2.799042,-2.28,-1.91,-0.76,-2.32,-0.26,-0.77,-1.08,-3.88,-0.36,-1.13,-1.84,-2.03,-0.77,-1.52,-2.82,-1.79,-2.61,-1.96,-2.2,-1.54,-0.92,-1.59,-2.23,-2.99,-1.57,-4.14,-2.51,-1.14,-2.37,-0.65,-0.79,-0.55,-0.98,-5.2,-1.38,-1.57,-1.44,-1.03,-2.65,-1.9,-6.28,-1.6,-0.29,-1.39,-5.74,-1.19,-1.08,-3.74,-1.82,-3.29
Asian ,-0.124379,-1.490869,-1.85,-2.26,-1.11,-2.16,-0.19,-1,-1.41,-1.45,-0.79,-0.73,-0.71,-2.83,-0.6,-1.97,-3.4,-2.59,-2.23,-2.23,-5.89,-0.82,-1,-1.02,-1.41,-3.06,-1.46,-1.91,-2.89,-0.85,-2.59,-0.44,-2.74,-0.48,-0.93,-11.31,-1.11,-2.37,-1.31,-1.13,-2.25,-2.02,-8.38,-2.02,-0.48,-1.7,-9.28,-0.62,-0.67,-4.74,-1.72,0
Two or More Races,-0.180773,-1.990417,-2.24,-2.06,-1.48,-2.55,-0.35,-1.07,-2.04,-4.04,-0.99,-1.57,-0.7,-1.71,-1.23,-1.86,-2.65,-1.72,-2.11,-2.18,-4.59,-1.2,-1.08,-1.25,-1.12,-3.2,-1.65,-1.24,-3.1,-1.59,-3.34,-1.62,-2.61,-0.99,-1.61,-6.01,-1.4,-1.17,-1.16,-1.65,-3.44,-2.46,-7.21,-1.73,-0.79,-1.7,-5.42,-1.08,-0.86,-3.85,-1.61,-1.65
